Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene stable ID,Gene name,Strand
8,28798142,28802085,ENSG00000254034,INTS9-AS1,1
14,72701762,72704280,ENSG00000285936,,1
14,72853224,72853331,ENSG00000206751,Y_RNA,-1
8,28810103,28810418,ENSG00000242958,RPL36AP32,1
14,72929612,72929930,ENSG00000176043,RPL36P3,-1
8,28915579,28915864,ENSG00000273710,Metazoa_SRP,-1
17,9644698,9729687,ENSG00000154914,USP43,1
14,96501433,96567116,ENSG00000090060,PAPOLA,1
2,175897336,175904232,ENSG00000235047,,1
2,234329483,234329838,ENSG00000237784,RPS20P12,1
6,41787662,41789898,ENSG00000214736,TOMM6,1
20,32207855,32238658,ENSG00000101346,POFUT1,1
2,157257705,157318491,ENSG00000136542,GALNT5,1
8,42271302,42332460,ENSG00000104365,IKBKB,1
10,86948677,86949875,ENSG00000281974,,1
10,86958599,86963258,ENSG00000173267,SNCG,1
12,127274265,127284328,ENSG00000256292,LINC02376,-1
X,108155607,108439497,ENSG00000197565,COL4A6,-1
6,28994785,29005316,ENSG00000197935,ZNF311,-1
12,118645315,118648724,ENSG00000255714,LINC02460,-1
12,129696599,129700122,ENSG00000286394,,1
12,106015897,106017006,ENSG00000257773,ST13P3,1
12,57243453,57251188,ENSG00000185482,STAC3,-1
5,90515611,90529584,ENSG00000176018,LYSMD3,-1
15,45430579,45448761,ENSG00000166920,C15orf48,1
16,3112560,3120517,ENSG00000122386,ZNF205,1
20,25611153,25611223,ENSG00000251883,RNU6ATAC17P,1
20,25612935,25624014,ENSG00000170191,NANP,-1
20,25624045,25689032,ENSG00000213742,ZNF337-AS1,1
10,86965345,86971311,ENSG00000272734,ADIRF-AS1,-1
10,86968432,86983934,ENSG00000148671,ADIRF,1
22,20206380,20208524,ENSG00000236499,LINC00896,1
22,20320104,20321208,ENSG00000273139,,1
2,161580072,161581350,ENSG00000235716,KRT18P46,1
22,41952150,41958939,ENSG00000205704,SMIM45,1
6,127968785,128520616,ENSG00000152894,PTPRK,-1
2,234351247,234356038,ENSG00000288040,,-1
22,31051630,31068327,ENSG00000278920,,1
2,194587925,194612145,ENSG00000286539,,1
22,31059989,31060285,ENSG00000240186,RN7SL633P,1
2,97081098,97083249,ENSG00000188383,GPAT2P2,1
2,111383752,111384992,ENSG00000223973,PAFAH1B1P2,1
22,31064105,31104757,ENSG00000183963,SMTN,1
5,161907111,162001536,ENSG00000280776,LINC01202,-1
2,131829801,131832031,ENSG00000229203,,-1
10,86970237,86970826,ENSG00000273413,,-1
20,25654595,25654881,ENSG00000242236,RN7SL594P,-1
20,25669857,25670386,ENSG00000236542,MED28P7,-1
2,103109759,103176260,ENSG00000229209,,-1
10,86970741,87010126,ENSG00000271880,,1
20,25673195,25696853,ENSG00000130684,ZNF337,-1
2,175904371,175905502,ENSG00000229779,,-1
2,194730595,194761435,ENSG00000230173,LINC01790,1
2,115835129,115940291,ENSG00000287451,,-1
11,10399192,10399317,ENSG00000221574,RNU6ATAC33P,-1
2,113667478,113668621,ENSG00000175509,ACRP1,-1
11,10508270,10508326,ENSG00000283813,MIR4485,-1
15,88797413,88798734,ENSG00000259676,,-1
11,10511673,10541230,ENSG00000110315,RNF141,-1
2,134455759,134719000,ENSG00000152128,TMEM163,-1
5,162000057,162162977,ENSG00000113327,GABRG2,1
15,88877294,88895597,ENSG00000140511,HAPLN3,-1
7,151428832,151440813,ENSG00000127377,CRYGN,-1
10,86992253,87000435,ENSG00000240089,BMS1P3,1
10,86992406,87010203,ENSG00000151303,,1
20,25680781,25681246,ENSG00000278383,,1
20,25697003,25752857,ENSG00000226465,,1
17,9647020,9647660,ENSG00000262296,,-1
10,86993432,87024732,ENSG00000272508,,1
20,25734264,25735093,ENSG00000230772,VN1R108P,1
20,25762384,25868225,ENSG00000175170,FAM182B,-1
17,9764186,9805100,ENSG00000282882,,1
17,9791227,9808855,ENSG00000278944,,-1
17,9805443,9811047,ENSG00000283025,,1
10,87001636,87009905,ENSG00000261011,AGAP11,1
3,132417502,132539032,ENSG00000138246,DNAJC13,1
10,87009785,87015782,ENSG00000229969,,-1
17,9822206,9892099,ENSG00000065325,GLP2R,1
10,87020294,87024730,ENSG00000188100,FAM25A,1
11,45691704,45691776,ENSG00000276639,MIR7154,-1
2,123065321,123067722,ENSG00000237856,,1
2,213276552,213284205,ENSG00000196096,SPAG16-DT,-1
15,88952683,88953460,ENSG00000259350,,1
11,45722279,45748029,ENSG00000254519,,1
15,88960070,88961046,ENSG00000259489,KRT18P47,1
15,88803436,88875353,ENSG00000157766,ACAN,1
10,87027184,87027477,ENSG00000271573,,1
10,87041238,87041341,ENSG00000200253,RNU6-529P,-1
19,9995997,9997163,ENSG00000267650,,1
7,65373799,65401136,ENSG00000146757,ZNF92,1
10,87094161,87191465,ENSG00000122376,SHLD2,1
19,10013249,10022279,ENSG00000080511,RDH8,1
20,25783553,25783919,ENSG00000275048,BSNDP1,1
20,25835985,25836832,ENSG00000250090,,-1
20,25845497,25845862,ENSG00000274973,BSNDP2,1
16,75111860,75116780,ENSG00000166816,LDHD,-1
2,159771851,159904710,ENSG00000248672,LY75-CD302,-1
20,35455164,35519280,ENSG00000126001,CEP250,1
12,111642146,111685956,ENSG00000089234,BRAP,-1
19,10038354,10038413,ENSG00000266204,MIR5589,1
10,87113954,87115523,ENSG00000237280,,1
10,87154041,87154369,ENSG00000273946,RN7SL733P,-1
19,10086122,10093252,ENSG00000130813,SHFL,1
7,151375909,151410727,ENSG00000187260,WDR86,-1
10,27504174,27543207,ENSG00000099246,RAB18,1
11,45733994,45735766,ENSG00000255426,,-1
11,45749454,45752279,ENSG00000255226,LINC02690,-1
11,45813219,45825258,ENSG00000255447,,1
16,2911931,2951208,ENSG00000059122,FLYWCH1,1
11,45847118,45883248,ENSG00000121671,CRY2,1
7,112288623,112288952,ENSG00000202406,RN7SKP187,1
7,112328189,112409623,ENSG00000226851,ZNF277-AS1,-1
17,9852748,9853306,ENSG00000265593,NPM1P45,-1
17,9896320,9905271,ENSG00000109047,RCVRN,-1
7,112372647,112373729,ENSG00000230999,MTND5P8,1
7,112373733,112374250,ENSG00000232922,MTND6P24,-1
7,112374324,112375429,ENSG00000236232,MTCYBP24,1
1,57386576,57387450,ENSG00000227935,,1
12,129622929,129625366,ENSG00000286246,,1
17,10258762,10259232,ENSG00000242692,RPS27AP1,1
19,10089032,10090377,ENSG00000267387,,-1
1,96446930,96448318,ENSG00000228502,EEF1A1P11,1
12,131296110,131297972,ENSG00000248703,LINC02415,-1
1,82970820,82986208,ENSG00000236268,LINC01361,-1
12,69449470,69460724,ENSG00000257507,LINC02373,1
17,10291820,10317926,ENSG00000273388,,1
7,112422887,112481017,ENSG00000006652,IFRD1,1
19,10106223,10114780,ENSG00000243207,PPAN-P2RY11,1
1,101882516,101882894,ENSG00000271277,,1
12,101696947,101744140,ENSG00000111666,CHPT1,1
17,10300865,10373130,ENSG00000006788,MYH13,-1
1,57605847,57606206,ENSG00000236888,RPS20P5,-1
1,87805286,87808372,ENSG00000279778,,-1
1,50114937,50115282,ENSG00000230828,,1
22,31082156,31083565,ENSG00000273387,,-1
1,97077743,97995000,ENSG00000188641,DPYD,-1
22,31104772,31120069,ENSG00000198832,SELENOM,-1
16,70173322,70187361,ENSG00000157335,CLEC18C,1
22,31113017,31113396,ENSG00000235573,,1
22,31122731,31134697,ENSG00000185133,INPP5J,1
19,10106362,10112012,ENSG00000130810,PPAN,1
1,95117355,95197607,ENSG00000152078,TLCD4,1
3,142465315,142472337,ENSG00000244327,,-1
3,64103470,64106056,ENSG00000241101,PRICKLE2-AS2,1
3,178419123,178843300,ENSG00000275163,,1
3,153129074,153129640,ENSG00000241671,KIAA1328P1,-1
3,193578812,193593090,ENSG00000236297,EEF1A1P23,-1
3,156044155,156044948,ENSG00000242017,ALG1L15P,-1
17,10320392,10341458,ENSG00000264067,,1
3,193765681,193766003,ENSG00000223986,COX6A1P5,1
17,10383144,10623886,ENSG00000272975,MYHAS,1
2,118949306,118952983,ENSG00000259094,,-1
14,64914361,64944591,ENSG00000258289,CHURC1,1
2,234444590,234454595,ENSG00000231682,LINC01891,-1
17,10383132,10537862,ENSG00000272736,,1
15,99791127,99792847,ENSG00000259655,,1
2,208214724,208222625,ENSG00000228111,TPT1P2,-1
2,155264163,155264823,ENSG00000229701,MTND2P20,-1
1,102199739,102389630,ENSG00000233359,,-1
12,118737964,118738511,ENSG00000241590,RPL17P37,-1
3,120628172,120682269,ENSG00000113924,HGD,-1
12,126874804,126888718,ENSG00000256286,,1
1,95356229,95381000,ENSG00000237954,,-1
2,161222785,161308389,ENSG00000235724,PSMD14-DT,-1
15,99791209,99791410,ENSG00000241588,RN7SL484P,1
17,10390322,10421950,ENSG00000133020,MYH8,-1
15,99805793,99916818,ENSG00000259363,,1
19,10107651,10107735,ENSG00000209645,SNORD105,1
19,10109757,10109835,ENSG00000238531,SNORD105B,1
19,10111693,10115372,ENSG00000244165,P2RY11,1
12,116357578,116359096,ENSG00000286354,,-1
12,104858838,104871765,ENSG00000286410,,1
12,95791733,95858839,ENSG00000258343,SNRPF-DT,-1
1,89821014,89936611,ENSG00000171492,LRRC8D,1
12,127881616,127898645,ENSG00000256597,LINC02393,1
2,138278574,138279210,ENSG00000233045,RPL15P5,1
12,20014780,20098868,ENSG00000256287,LINC02398,1
11,45885651,45906465,ENSG00000121653,MAPK8IP1,1
2,195003711,195026370,ENSG00000235056,,-1
12,114670255,114684175,ENSG00000135111,TBX3,-1
15,99970215,99974010,ENSG00000254744,,1
19,10115014,10119918,ENSG00000130811,EIF3G,-1
15,99976481,99980774,ENSG00000259219,,1
15,100074081,100074190,ENSG00000252957,RNA5SP402,-1
15,100126106,100129743,ENSG00000259356,,1
2,179944876,180007297,ENSG00000163510,CWC22,-1
14,39114285,39136973,ENSG00000092208,GEMIN2,1
15,100344047,100350725,ENSG00000189419,SPATA41,-1
15,100372936,100437914,ENSG00000259430,CERS3-AS1,1
15,100547765,100550153,ENSG00000270127,,-1
15,100551820,100551922,ENSG00000251819,RNU6-322P,-1
15,100553529,100558954,ENSG00000259205,PRKXP1,-1
1,93934479,93935244,ENSG00000233129,,-1
15,100558677,100559798,ENSG00000259540,,1
1,101236865,101243713,ENSG00000170989,S1PR1,1
15,100560686,100560792,ENSG00000200095,RNU6-181P,-1
15,66919811,66931755,ENSG00000259437,,1
15,66931537,66956518,ENSG00000259289,LINC02206,-1
10,133087924,133131675,ENSG00000197177,ADGRA1,1
15,67000814,67001085,ENSG00000259246,HMGN2P47,-1
15,67142734,67146939,ENSG00000259202,,-1
15,67200667,67255195,ENSG00000103591,AAGAB,-1
1,98077000,98077468,ENSG00000233557,NFU1P2,1
1,105890693,105891430,ENSG00000237897,MATR3P3,-1
12,127484243,127486675,ENSG00000287112,,1
12,118430147,118430699,ENSG00000275409,,1
12,46592573,46593305,ENSG00000272963,OR7A19P,1
12,126864465,126865422,ENSG00000255923,,1
12,108907741,109021068,ENSG00000166111,SVOP,-1
10,112149865,112215377,ENSG00000119927,GPAM,-1
1,109113679,109206781,ENSG00000116299,ELAPOR1,1
11,45905941,45906461,ENSG00000255498,,-1
20,35476203,35491005,ENSG00000230155,CEP250-AS1,-1
11,45906513,45907272,ENSG00000234776,FREY1,-1
20,35520852,35528255,ENSG00000290934,,-1
3,157814822,158088997,ENSG00000242536,,-1
17,10443290,10469559,ENSG00000264424,MYH4,-1
20,35742619,35743823,ENSG00000289872,,1
3,189238686,189240594,ENSG00000230115,TPRG1-AS2,-1
20,44355699,44432845,ENSG00000101076,HNF4A,1
11,45909663,45918812,ENSG00000121680,PEX16,-1
2,67324627,67325304,ENSG00000236605,,1
3,119468963,119494708,ENSG00000163389,POGLUT1,1
2,234455157,234455783,ENSG00000232690,HSPE1P9,-1
2,67040546,67041966,ENSG00000223859,,1
12,63292625,63360037,ENSG00000258117,LINC03056,-1
2,221944223,221944612,ENSG00000233868,LLPHP3,1
12,22116629,22134851,ENSG00000283582,SULT6B2P,-1
2,152176020,152225211,ENSG00000286234,,1
12,46537502,46652550,ENSG00000272369,,1
7,112446086,112446375,ENSG00000180019,,-1
12,116368764,116389471,ENSG00000258346,,1
7,112450487,112450645,ENSG00000288634,,1
7,112480853,112491062,ENSG00000181016,LSMEM1,1
12,127146535,127151330,ENSG00000286791,,1
12,103841451,103844664,ENSG00000257327,,1
12,133218312,133235877,ENSG00000227059,ANHX,-1
15,67232446,67232837,ENSG00000242634,RPS24P16,1
15,29699367,29968915,ENSG00000104067,TJP1,-1
12,127147149,127150081,ENSG00000278266,,1
14,72609034,72894101,ENSG00000205683,DPF3,-1
12,105704203,105744062,ENSG00000257859,CASC18,1
7,112520488,112521670,ENSG00000182965,NPM1P14,1
12,127631248,127636488,ENSG00000256022,LINC02411,-1
17,10492307,10518542,ENSG00000109061,MYH1,-1
2,196189099,196593684,ENSG00000138411,HECW2,-1
7,150991017,151014588,ENSG00000164867,NOS3,1
12,5366048,5367774,ENSG00000256218,,-1
12,127876999,127877516,ENSG00000255757,,-1
12,118063593,118136026,ENSG00000176834,VSIG10,-1
3,125747084,125748098,ENSG00000179170,OR7E97P,1
3,140678064,140701150,ENSG00000155890,TRIM42,1
8,105287830,105288365,ENSG00000243171,,-1
8,105546089,106060524,ENSG00000251003,ZFPM2-AS1,-1
19,10221433,10231331,ENSG00000267534,S1PR2,-1
8,105662352,105685765,ENSG00000253420,,-1
8,105669991,105679031,ENSG00000254141,,1
10,112283400,112305038,ENSG00000119913,TECTB,1
8,105737280,105737765,ENSG00000243601,RPL12P24,-1
19,10230413,10230485,ENSG00000264266,MIR4322,1
8,105826570,105834038,ENSG00000253526,,1
8,105929126,105929238,ENSG00000201627,Y_RNA,-1
11,45921621,45929096,ENSG00000165905,LARGE2,1
8,106270144,106752694,ENSG00000164830,OXR1,1
12,128437778,128439206,ENSG00000256630,,-1
19,10251901,10260055,ENSG00000105364,MRPL4,1
3,186105668,186362234,ENSG00000058866,DGKG,-1
12,101728648,101739472,ENSG00000139351,SYCP3,-1
10,112299612,112299688,ENSG00000283688,MIR6715B,-1
10,112299612,112299690,ENSG00000276857,MIR6715A,1
10,112308181,112356574,ENSG00000243316,GUCY2GP,-1
14,18601117,18602097,ENSG00000257115,OR11H12,1
14,20190896,20201075,ENSG00000196832,OR11G2,1
16,89560677,89564542,ENSG00000167526,RPL13,1
14,23321457,23326163,ENSG00000100836,PABPN1,1
10,112395813,112425589,ENSG00000232934,,-1
10,112548632,112548872,ENSG00000234017,,-1
11,46116578,46117318,ENSG00000254653,,1
11,46123031,46177106,ENSG00000255314,,1
17,10521148,10549700,ENSG00000125414,MYH2,-1
10,31318495,31529814,ENSG00000148516,ZEB1,1
11,46142716,46143594,ENSG00000254871,FBLIM1P2,1
11,46213150,46220438,ENSG00000255269,LINC02710,-1
12,65645992,65646462,ENSG00000213344,PCNPP3,-1
12,22395088,22398075,ENSG00000256714,,-1
12,57249609,57296484,ENSG00000258830,,-1
11,46238382,46239267,ENSG00000254639,,1
11,46277662,46321409,ENSG00000157613,CREB3L1,1
12,127563908,127590930,ENSG00000287622,,1
12,118988010,118989594,ENSG00000286233,,-1
12,129681427,129698227,ENSG00000256137,,-1
14,24439766,24442905,ENSG00000100445,SDR39U1,-1
12,127149955,127161259,ENSG00000287339,,-1
12,103770453,103841234,ENSG00000111696,NT5DC3,-1
5,37085056,37085852,ENSG00000244073,RPS4XP6,1
5,37130430,37130700,ENSG00000271378,RBISP2,1
5,37209364,37212381,ENSG00000228212,OFD1P17,1
5,37246173,37246479,ENSG00000242493,RN7SL37P,-1
5,37286449,37286977,ENSG00000270558,,-1
5,37327135,37327196,ENSG00000251880,RNU7-75P,1
5,123400922,123402344,ENSG00000250539,KRT8P33,-1
5,123468781,123469429,ENSG00000249400,HMGB3P17,-1
5,123344890,123423592,ENSG00000168944,CEP120,-1
16,50548396,50649249,ENSG00000140807,NKD1,1
11,46376402,46376484,ENSG00000264102,MIR4688,1
11,95756959,95757442,ENSG00000273600,,-1
22,31134807,31140508,ENSG00000100078,PLA2G3,-1
12,127324152,127340109,ENSG00000256362,LINC02375,-1
11,95768953,95790409,ENSG00000077458,FAM76B,-1
12,127486938,127533242,ENSG00000286922,,1
12,126912034,126912322,ENSG00000257021,HSPE1P20,1
12,46682071,46682713,ENSG00000271642,MARK3P1,-1
12,127317709,127319986,ENSG00000256496,,-1
12,5315961,5319347,ENSG00000256146,,1
12,131462853,131529894,ENSG00000256209,,-1
22,31155966,31156647,ENSG00000214125,,-1
22,31160062,31160119,ENSG00000264141,MIR3928,-1
22,31160182,31207019,ENSG00000138942,RNF185,1
12,26938470,26966650,ENSG00000111790,FGFR1OP2,1
X,13318647,13320053,ENSG00000123594,ATXN3L,-1
X,8464830,8466510,ENSG00000205642,VCX3B,1
20,45890144,45898949,ENSG00000064601,CTSA,1
16,50551824,50553940,ENSG00000260029,,-1
16,50555355,50558719,ENSG00000278909,,1
16,50606076,50613684,ENSG00000205414,,-1
16,50664903,50671639,ENSG00000260249,,1
X,48458537,48470260,ENSG00000017483,SLC38A5,-1
16,50712844,50713589,ENSG00000270120,,1
19,10252268,10285108,ENSG00000266978,LIMASI,-1
16,50742305,50742377,ENSG00000264947,MIR3181,1
16,50783859,50803338,ENSG00000260616,,-1
19,10259109,10260045,ENSG00000267105,,-1
16,50806668,50807629,ENSG00000261703,LINC02168,1
16,50856614,50879278,ENSG00000260042,,-1
16,50869455,50869575,ENSG00000199771,RNA5SP426,-1
12,133115692,133122340,ENSG00000271963,,1
16,57603137,57603697,ENSG00000260828,HMGB3P32,1
14,77265483,77271206,ENSG00000165553,NGB,-1
12,115569394,115581739,ENSG00000258108,,1
19,10271093,10286615,ENSG00000090339,ICAM1,1
12,19941521,19943018,ENSG00000256849,TCP1P3,1
12,131478844,131483034,ENSG00000279388,,-1
12,131310045,131312811,ENSG00000286462,,-1
12,103819610,103822085,ENSG00000257754,,1
14,20891385,20892348,ENSG00000169397,RNASE3,1
12,10750188,10777446,ENSG00000256888,LINC02366,1
22,31205264,31205616,ENSG00000254835,RNF185-AS1,-1
14,21768489,21769080,ENSG00000211780,TRAV6,1
22,31212239,31280080,ENSG00000182541,LIMK2,1
14,21782993,21783503,ENSG00000211781,TRAV7,1
14,21797287,21797886,ENSG00000211782,TRAV8-1,1
14,21811502,21811977,ENSG00000211783,TRAV9-1,1
14,21825472,21826075,ENSG00000211784,TRAV10,1
14,21829539,21830070,ENSG00000256474,TRAV11,1
14,21841240,21841774,ENSG00000211785,TRAV12-1,1
12,115363012,115364745,ENSG00000257726,,1
14,21846537,21847221,ENSG00000211786,TRAV8-2,1
12,127758832,127821183,ENSG00000286662,,-1
14,21852558,21853006,ENSG00000211787,TRAV8-3,1
14,21868839,21869365,ENSG00000211788,TRAV13-1,1
14,21887857,21888502,ENSG00000211789,TRAV12-2,1
12,127825938,127826286,ENSG00000279475,,-1
14,21894433,21895030,ENSG00000211790,TRAV8-4,1
12,127624153,127626267,ENSG00000257035,,1
14,21903077,21904598,ENSG00000256379,TRAV8-5,1
16,57610652,57665580,ENSG00000205336,ADGRG1,1
14,21918188,21918756,ENSG00000211791,TRAV13-2,1
12,127598168,127599715,ENSG00000255945,,1
14,21924063,21924651,ENSG00000211792,TRAV14DV4,1
3,183487551,183555706,ENSG00000172578,KLHL6,-1
12,39550033,39619803,ENSG00000173208,ABCD2,-1
14,21941128,21941657,ENSG00000211793,TRAV9-2,1
14,21950406,21950654,ENSG00000258482,TRAV15,1
14,21962819,21963042,ENSG00000258557,,-1
14,21965451,21966061,ENSG00000211794,TRAV12-3,1
14,21978459,21979120,ENSG00000211795,TRAV8-6,1
14,21990496,21990938,ENSG00000211796,TRAV16,1
14,21997539,21998168,ENSG00000211797,TRAV17,1
7,151028781,151029754,ENSG00000243433,,-1
14,22003106,22003673,ENSG00000211798,TRAV18,1
19,10285801,10289019,ENSG00000267607,ICAM4-AS1,-1
14,22007512,22008181,ENSG00000211799,TRAV19,1
14,22011910,22014964,ENSG00000258705,,1
19,10286955,10288522,ENSG00000105371,ICAM4,1
14,22040594,22041153,ENSG00000211800,TRAV20,1
14,22052514,22053056,ENSG00000211801,TRAV21,1
3,181372732,181442597,ENSG00000241231,,-1
14,22066016,22066373,ENSG00000276428,,1
14,22070557,22071208,ENSG00000211802,TRAV22,1
7,151048292,151052756,ENSG00000213199,ASIC3,1
14,22086407,22086961,ENSG00000211803,TRAV23DV6,1
12,127726339,127732171,ENSG00000288523,,-1
11,95789965,95832693,ENSG00000166037,CEP57,1
14,22096032,22096619,ENSG00000211804,TRDV1,1
14,22105343,22105846,ENSG00000211805,TRAV24,1
12,69359710,69390870,ENSG00000127337,YEATS4,1
14,22112347,22113031,ENSG00000211806,TRAV25,1
19,10315471,10320678,ENSG00000267303,,-1
14,22123318,22124285,ENSG00000211807,TRAV26-1,1
14,22132553,22133034,ENSG00000211808,TRAV8-7,1
19,10333436,10336248,ENSG00000274425,,1
19,52511282,52512342,ENSG00000269349,,-1
14,22147995,22148633,ENSG00000211809,TRAV27,1
14,22155079,22155638,ENSG00000258835,TRAV28,1
14,22163238,22163870,ENSG00000211810,TRAV29DV5,1
19,52527652,52564464,ENSG00000198482,ZNF808,1
3,176069107,176069252,ENSG00000271413,EI24P6,1
14,22168429,22168988,ENSG00000259092,TRAV30,1
3,50260303,50263358,ENSG00000230454,,1
14,22177273,22177864,ENSG00000249048,TRAV31,1
14,22185562,22186057,ENSG00000258905,TRAV32,1
14,22190158,22190713,ENSG00000258812,TRAV33,1
14,22202583,22203368,ENSG00000211812,TRAV26-2,1
14,22207522,22208129,ENSG00000211813,TRAV34,1
10,36995023,36995585,ENSG00000225355,ARL6IP1P2,1
3,150882997,150941743,ENSG00000260234,,-1
10,37135237,37135343,ENSG00000206796,RNU6-811P,1
14,22221896,22222475,ENSG00000211814,TRAV35,1
1,94148988,94275068,ENSG00000137962,ARHGAP29,-1
10,37240887,37242049,ENSG00000234918,,1
14,22226746,22227254,ENSG00000211815,TRAV36DV7,1
10,37297398,37297689,ENSG00000244402,RN7SL314P,1
10,37303000,37303109,ENSG00000252621,Y_RNA,-1
14,22265749,22266264,ENSG00000259068,TRAV37,1
14,22271968,22272563,ENSG00000211816,TRAV38-1,1
10,37337415,37338871,ENSG00000237970,TMEM161BP1,1
10,37348616,37349572,ENSG00000236313,VN1R53P,1
14,22281105,22281748,ENSG00000211817,TRAV38-2DV8,1
14,22304054,22304553,ENSG00000211818,TRAV39,1
14,22314490,22314919,ENSG00000211819,TRAV40,1
3,176814155,176817001,ENSG00000228308,LINC01209,-1
14,22320188,22320691,ENSG00000211820,TRAV41,1
5,154559308,154560440,ENSG00000253146,CIR1P1,-1
10,133278635,133318823,ENSG00000130640,TUBGCP2,-1
3,184546714,184556918,ENSG00000230215,LINC01840,-1
5,154596012,154596072,ENSG00000264760,MIR3141,-1
14,105736343,105743071,ENSG00000211896,IGHG1,-1
5,154685776,154685861,ENSG00000221552,MIR1303,1
5,154705626,154705727,ENSG00000274472,Y_RNA,1
5,154718383,154718689,ENSG00000272197,RN7SL803P,-1
3,156747343,156817062,ENSG00000240875,LINC00886,-1
5,154729231,154729694,ENSG00000241187,RPL21P57,1
X,6533618,6535118,ENSG00000169059,VCX3A,-1
5,154818492,154859252,ENSG00000170271,FAXDC2,-1
19,52564076,52564231,ENSG00000242255,RPL39P34,1
19,52575883,52585561,ENSG00000268886,,-1
3,149999645,150000690,ENSG00000241947,HNRNPA1P24,1
12,7800361,7800467,ENSG00000199912,Y_RNA,-1
19,52597699,52598887,ENSG00000268970,,-1
12,8484746,8484852,ENSG00000201780,RNU6-275P,1
3,64174401,64175147,ENSG00000239926,PRDX3P4,1
12,10084186,10084490,ENSG00000223042,RN7SKP161,1
12,7850717,7850818,ENSG00000201663,Y_RNA,-1
3,156713884,156714928,ENSG00000174912,METTL15P1,-1
22,31222745,31222853,ENSG00000199695,RNU6-1128P,-1
14,105764503,105771405,ENSG00000211897,IGHG3,-1
12,7856169,7856471,ENSG00000278459,Metazoa_SRP,1
22,31230071,31230172,ENSG00000202019,Y_RNA,-1
12,7784403,7784511,ENSG00000201549,Y_RNA,-1
12,11546479,11546540,ENSG00000251747,RNU7-60P,1
22,31281594,31292534,ENSG00000100100,PIK3IP1,-1
12,14250232,14250341,ENSG00000251908,RNU6-491P,-1
12,17071398,17071505,ENSG00000212358,RNU6-837P,-1
12,12111952,12112036,ENSG00000283475,MIR1244-4,1
12,12226674,12226777,ENSG00000199551,RNU6-545P,1
12,17673299,17673394,ENSG00000283665,MIR3974,1
12,17710934,17711046,ENSG00000206662,Y_RNA,1
12,15671707,15671810,ENSG00000200105,RNU6-251P,-1
12,24706788,24707083,ENSG00000240481,RN7SL38P,1
12,12289227,12289329,ENSG00000207010,RNU6-318P,-1
12,22195469,22195629,ENSG00000212172,RNU1-149P,-1
19,52702813,52735073,ENSG00000213020,ZNF611,-1
12,33982465,33982566,ENSG00000201624,Y_RNA,-1
12,26373598,26373733,ENSG00000212549,RNA5SP354,-1
14,105785505,105785831,ENSG00000270371,ATP6V1G1P1,-1
12,25874020,25874079,ENSG00000283603,MIR4302,-1
14,105836765,105845677,ENSG00000211898,IGHD,-1
12,34205699,34205817,ENSG00000272435,RNA5SP357,1
12,38274448,38274549,ENSG00000253016,Y_RNA,-1
12,41658676,41658793,ENSG00000252364,RNA5SP360,1
X,103576231,103587729,ENSG00000133142,TCEAL4,1
12,25779287,25779569,ENSG00000222950,RN7SKP262,-1
12,38150050,38150138,ENSG00000274293,,1
12,30306431,30306524,ENSG00000251781,RNA5SP356,-1
17,10579040,10623036,ENSG00000214970,,1
12,45117771,45117888,ENSG00000199556,RNA5SP361,1
12,44880868,44880969,ENSG00000201788,Y_RNA,-1
12,38161466,38161582,ENSG00000199843,RNA5SP358,-1
12,38163403,38163515,ENSG00000201708,RNA5SP359,-1
14,105851705,105856218,ENSG00000211899,IGHM,-1
12,33923374,33923480,ENSG00000207026,RNU6-472P,-1
12,50234142,50234212,ENSG00000221604,MIR1293,-1
12,50256238,50256344,ENSG00000212496,RNU6-1093P,-1
2,65310851,65432637,ENSG00000198369,SPRED2,-1
12,31811088,31811190,ENSG00000252204,,1
12,39819750,39819883,ENSG00000199571,,-1
12,31802958,31803090,ENSG00000252421,RNU6-1069P,-1
12,53138545,53138651,ENSG00000238669,RNU6-333P,-1
12,33576095,33576200,ENSG00000212475,RNU6-400P,1
12,53816185,53816479,ENSG00000253053,RN7SKP289,1
15,99971437,100342005,ENSG00000140470,ADAMTS17,-1
12,59450673,59450772,ENSG00000251931,RNU6-871P,-1
12,60363822,60363935,ENSG00000251822,,1
3,64515654,64688000,ENSG00000163638,ADAMTS9,-1
12,57977965,57978277,ENSG00000222210,RN7SKP65,-1
17,10628526,10657309,ENSG00000109063,MYH3,-1
12,59369051,59369151,ENSG00000212599,RNU6-279P,-1
14,105857513,105857572,ENSG00000265612,MIR4539,-1
14,105858124,105858175,ENSG00000264024,MIR4507,-1
12,59586793,59586943,ENSG00000202471,RNU4-20P,-1
14,105858165,105858242,ENSG00000263413,MIR4538,-1
14,105859484,105859553,ENSG00000264781,MIR4537,-1
12,60341824,60341941,ENSG00000252607,Y_RNA,-1
14,105863198,105863258,ENSG00000211900,IGHJ6,-1
12,57194504,57194576,ENSG00000221365,MIR1228,1
12,62334091,62334197,ENSG00000200814,RNU6-595P,-1
12,62935701,62935802,ENSG00000252660,Y_RNA,1
14,105863416,105863465,ENSG00000237111,IGHJ3P,-1
12,62850738,62850901,ENSG00000200296,RNU1-83P,-1
14,105863814,105863862,ENSG00000242472,IGHJ5,-1
12,62393607,62393880,ENSG00000275881,Metazoa_SRP,-1
